Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
61,2014-11-03,DEN,,SAC,3rd,0:24.0,DEN down 4 (75-79),T. Lawson makes 2-pt shot from 2 ft,DEN down 2 (77-79)
62,2014-11-03,DEN,,SAC,3rd,0:01.0,DEN down 2 (77-79),D. Gallinari misses 3-pt shot from 53 ft,DEN down 2 (77-79)
63,2014-11-03,DEN,,SAC,4th,2:58.0,DEN down 2 (96-98),W. Chandler misses 3-pt shot from 25 ft,DEN down 2 (96-98)
64,2014-11-03,DEN,,SAC,4th,2:44.0,DEN down 2 (96-98),A. Afflalo misses 3-pt shot from 25 ft,DEN down 2 (96-98)
65,2014-11-03,DEN,,SAC,4th,2:13.0,DEN down 5 (96-101),A. Afflalo misses 2-pt shot from 8 ft,DEN down 5 (96-101)
66,2014-11-03,DEN,,SAC,4th,2:12.0,DEN down 5 (96-101),J. McGee misses 2-pt shot from 1 ft,DEN down 5 (96-101)
67,2014-11-03,DEN,,SAC,4th,1:26.0,DEN down 5 (98-103),T. Lawson misses 2-pt shot from 3 ft,DEN down 5 (98-103)
68,2014-11-03,DEN,,SAC,4th,1:24.0,DEN down 5 (98-103),J. McGee makes 2-pt shot at rim,DEN down 3 (100-103)
69,2014-11-03,DEN,,SAC,4th,0:52.0,DEN down 3 (100-103),R. Foye misses 3-pt shot from 26 ft,DEN down 3 (100-103)
70,2014-11-03,DEN,,SAC,4th,0:16.0,DEN down 4 (103-107),W. Chandler misses 2-pt shot from 1 ft,DEN down 4 (103-107)
71,2014-11-03,DEN,,SAC,4th,0:10.0,DEN down 5 (103-108),J. McGee makes 2-pt shot at rim (assist by T. Lawson),DEN down 3 (105-108)
72,2014-11-03,DEN,,SAC,4th,0:05.0,DEN down 5 (105-110),A. Afflalo misses 3-pt shot from 27 ft,DEN down 5 (105-110)
73,2014-11-05,DEN,@,SAC,1st,2:53.0,DEN down 16 (14-30),J. McGee misses 2-pt shot from 9 ft,DEN down 16 (14-30)
74,2014-11-05,DEN,@,SAC,1st,2:28.0,DEN down 18 (14-32),J. McGee makes 2-pt shot from 7 ft (assist by D. Arthur),DEN down 16 (16-32)
75,2014-11-05,DEN,@,SAC,1st,1:45.0,DEN down 18 (16-34),D. Arthur makes 3-pt shot from 25 ft (assist by T. Lawson),DEN down 15 (19-34)
76,2014-11-05,DEN,@,SAC,1st,1:16.0,DEN down 15 (19-34),D. Gallinari misses 3-pt shot from 25 ft,DEN down 15 (19-34)
77,2014-11-05,DEN,@,SAC,1st,0:50.0,DEN down 17 (19-36),T. Lawson misses 2-pt shot from 17 ft (block by D. Collison),DEN down 17 (19-36)
78,2014-11-05,DEN,@,SAC,1st,0:27.0,DEN down 19 (19-38),D. Gallinari misses 2-pt shot from 3 ft,DEN down 19 (19-38)
79,2014-11-05,DEN,@,SAC,1st,0:02.0,DEN down 21 (19-40),R. Foye misses 2-pt shot from 5 ft,DEN down 21 (19-40)
80,2014-11-05,DEN,@,SAC,2nd,2:52.0,DEN down 11 (47-58),D. Arthur makes 3-pt shot from 25 ft,DEN down 8 (50-58)
81,2014-11-05,DEN,@,SAC,2nd,2:03.0,DEN down 10 (50-60),D. Arthur misses 3-pt shot from 25 ft,DEN down 10 (50-60)
82,2014-11-05,DEN,@,SAC,2nd,1:37.0,DEN down 10 (50-60),N. Robinson makes 2-pt shot from 2 ft (assist by A. Afflalo),DEN down 8 (52-60)
83,2014-11-05,DEN,@,SAC,2nd,0:53.0,DEN down 11 (52-63),W. Chandler misses 2-pt shot from 17 ft,DEN down 11 (52-63)
84,2014-11-05,DEN,@,SAC,2nd,0:02.0,DEN down 14 (54-68),N. Robinson misses 2-pt shot from 17 ft,DEN down 14 (54-68)
85,2014-11-05,DEN,@,SAC,2nd,0:01.0,DEN down 14 (54-68),J. Nurkic misses 2-pt shot from 3 ft,DEN down 14 (54-68)
86,2014-11-05,DEN,@,SAC,3rd,1:24.0,DEN down 31 (70-101),A. Gee misses 2-pt shot from 16 ft,DEN down 31 (70-101)
87,2014-11-05,DEN,@,SAC,3rd,0:46.0,DEN down 33 (70-103),A. Gee misses 2-pt shot from 2 ft (block by R. Gay),DEN down 33 (70-103)
88,2014-11-05,DEN,@,SAC,3rd,0:42.0,DEN down 33 (70-103),N. Robinson misses 3-pt shot from 25 ft,DEN down 33 (70-103)
89,2014-11-05,DEN,@,SAC,3rd,0:20.0,DEN down 35 (70-105),R. Foye makes 2-pt shot from 2 ft,DEN down 33 (72-105)
90,2014-11-05,DEN,@,SAC,4th,2:50.0,DEN down 20 (100-120),R. Foye misses 3-pt shot from 24 ft,DEN down 20 (100-120)
91,2014-11-05,DEN,@,SAC,4th,2:07.0,DEN down 23 (100-123),D. Gallinari misses 3-pt shot from 26 ft,DEN down 23 (100-123)
92,2014-11-05,DEN,@,SAC,4th,1:42.0,DEN down 25 (100-125),J. Nurkic makes 2-pt shot from 15 ft,DEN down 23 (102-125)
