Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
101,2014-11-05,MEM,@,PHO,3rd,1:26.0,MEM up 6 (75-69),Z. Randolph misses 2-pt shot from 15 ft,MEM up 6 (75-69)
102,2014-11-05,MEM,@,PHO,3rd,1:22.0,MEM up 6 (75-69),Z. Randolph misses 2-pt shot from 15 ft,MEM up 6 (75-69)
103,2014-11-05,MEM,@,PHO,3rd,0:52.0,MEM up 6 (75-69),B. Udrih misses 3-pt shot from 25 ft,MEM up 6 (75-69)
104,2014-11-05,MEM,@,PHO,4th,2:20.0,MEM up 8 (93-85),T. Allen makes 2-pt shot from 1 ft (assist by M. Conley),MEM up 10 (95-85)
105,2014-11-05,MEM,@,PHO,4th,1:53.0,MEM up 11 (96-85),Q. Pondexter misses 2-pt shot from 3 ft (block by M. Morris),MEM up 11 (96-85)
106,2014-11-05,MEM,@,PHO,4th,1:51.0,MEM up 11 (96-85),M. Conley makes 3-pt shot from 23 ft (assist by T. Allen),MEM up 14 (99-85)
107,2014-11-05,MEM,@,PHO,4th,1:17.0,MEM up 12 (99-87),M. Gasol makes 2-pt shot from 3 ft (assist by M. Conley),MEM up 14 (101-87)
108,2014-11-05,MEM,@,PHO,4th,0:24.0,MEM up 11 (102-91),Q. Pondexter misses 3-pt shot from 30 ft,MEM up 11 (102-91)
109,2014-11-07,MEM,@,OKC,1st,2:47.0,MEM up 1 (18-17),C. Lee makes 2-pt shot from 14 ft (assist by T. Allen),MEM up 3 (20-17)
110,2014-11-07,MEM,@,OKC,1st,2:11.0,MEM up 1 (20-19),C. Lee misses 2-pt shot from 2 ft,MEM up 1 (20-19)
111,2014-11-07,MEM,@,OKC,1st,1:36.0,MEM up 1 (20-19),V. Carter misses 2-pt shot from 21 ft,MEM up 1 (20-19)
112,2014-11-07,MEM,@,OKC,1st,1:04.0,MEM up 1 (20-19),Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter),MEM up 3 (22-19)
113,2014-11-07,MEM,@,OKC,1st,0:36.0,MEM up 3 (22-19),M. Gasol misses 2-pt shot from 5 ft,MEM up 3 (22-19)
114,2014-11-07,MEM,@,OKC,1st,0:27.0,MEM up 3 (22-19),V. Carter misses 3-pt shot from 24 ft,MEM up 3 (22-19)
115,2014-11-07,MEM,@,OKC,2nd,2:44.0,MEM up 3 (40-37),M. Conley makes 2-pt shot from 1 ft,MEM up 5 (42-37)
116,2014-11-07,MEM,@,OKC,2nd,2:03.0,MEM up 2 (42-40),C. Lee makes 2-pt shot from 15 ft (assist by M. Gasol),MEM up 4 (44-40)
117,2014-11-07,MEM,@,OKC,2nd,1:25.0,MEM up 4 (44-40),C. Lee makes 3-pt shot from 24 ft (assist by M. Conley),MEM up 7 (47-40)
118,2014-11-07,MEM,@,OKC,2nd,0:43.0,MEM up 7 (47-40),M. Conley misses 2-pt shot from 11 ft,MEM up 7 (47-40)
119,2014-11-07,MEM,@,OKC,2nd,0:42.0,MEM up 7 (47-40),M. Conley misses 2-pt shot from 11 ft,MEM up 7 (47-40)
120,2014-11-07,MEM,@,OKC,2nd,0:05.0,MEM up 7 (47-40),M. Conley makes 2-pt shot from 2 ft,MEM up 9 (49-40)
121,2014-11-07,MEM,@,OKC,3rd,1:27.0,MEM up 5 (64-59),M. Conley misses 2-pt shot from 2 ft,MEM up 5 (64-59)
122,2014-11-07,MEM,@,OKC,3rd,1:26.0,MEM up 5 (64-59),K. Koufos misses 2-pt shot from 2 ft,MEM up 5 (64-59)
123,2014-11-07,MEM,@,OKC,3rd,0:49.0,MEM up 2 (64-62),M. Gasol makes 2-pt shot from 13 ft,MEM up 4 (66-62)
124,2014-11-07,MEM,@,OKC,3rd,0:25.0,MEM up 4 (66-62),V. Carter misses 2-pt shot from 16 ft,MEM up 4 (66-62)
125,2014-11-07,MEM,@,OKC,4th,2:57.0,MEM tied (81-81),Z. Randolph misses 2-pt shot from 5 ft,MEM tied (81-81)
126,2014-11-07,MEM,@,OKC,4th,2:23.0,MEM tied (81-81),C. Lee makes 3-pt shot from 24 ft (assist by Z. Randolph),MEM up 3 (84-81)
127,2014-11-07,MEM,@,OKC,4th,1:43.0,MEM up 1 (84-83),M. Conley makes 3-pt shot from 24 ft,MEM up 4 (87-83)
128,2014-11-07,MEM,@,OKC,4th,1:14.0,MEM up 1 (87-86),Z. Randolph misses 2-pt shot from 4 ft,MEM up 1 (87-86)
129,2014-11-07,MEM,@,OKC,4th,0:38.0,MEM down 2 (87-89),M. Conley makes 3-pt shot from 25 ft (assist by C. Lee),MEM up 1 (90-89)
130,2014-11-07,MEM,@,OKC,4th,0:08.0,MEM up 1 (90-89),Q. Pondexter misses 3-pt shot from 24 ft,MEM up 1 (90-89)
131,2014-11-08,MEM,@,MIL,1st,2:43.0,MEM up 2 (19-17),M. Conley misses 2-pt shot at rim,MEM up 2 (19-17)
132,2014-11-08,MEM,@,MIL,1st,1:23.0,MEM tied (21-21),M. Gasol misses 2-pt shot from 15 ft,MEM tied (21-21)
133,2014-11-08,MEM,@,MIL,1st,0:56.0,MEM tied (21-21),B. Udrih misses 3-pt shot from 26 ft,MEM tied (21-21)
134,2014-11-08,MEM,@,MIL,1st,0:38.0,MEM tied (21-21),Q. Pondexter misses 3-pt shot from 25 ft,MEM tied (21-21)
135,2014-11-08,MEM,@,MIL,1st,0:28.0,MEM tied (21-21),T. Prince misses 2-pt shot from 14 ft,MEM tied (21-21)
136,2014-11-08,MEM,@,MIL,1st,0:27.0,MEM tied (21-21),J. Leuer makes 2-pt shot at rim,MEM up 2 (23-21)
137,2014-11-08,MEM,@,MIL,1st,0:00.0,MEM up 2 (23-21),Q. Pondexter misses 3-pt shot from 40 ft,MEM up 2 (23-21)
138,2014-11-08,MEM,@,MIL,2nd,1:08.0,MEM up 5 (46-41),M. Gasol misses 2-pt shot from 17 ft,MEM up 5 (46-41)
139,2014-11-08,MEM,@,MIL,2nd,0:24.0,MEM up 2 (46-44),M. Conley makes 2-pt shot at rim,MEM up 4 (48-44)
140,2014-11-08,MEM,@,MIL,2nd,0:00.0,MEM up 4 (48-44),Z. Randolph makes 3-pt shot from 43 ft (assist by T. Allen),MEM up 7 (51-44)
141,2014-11-08,MEM,@,MIL,3rd,2:43.0,MEM up 3 (67-64),M. Gasol misses 2-pt shot from 15 ft,MEM up 3 (67-64)
142,2014-11-08,MEM,@,MIL,3rd,2:29.0,MEM up 3 (67-64),M. Gasol makes 2-pt shot at rim (assist by B. Udrih),MEM up 5 (69-64)
143,2014-11-08,MEM,@,MIL,3rd,1:50.0,MEM up 5 (69-64),Q. Pondexter misses 3-pt shot from 26 ft,MEM up 5 (69-64)
144,2014-11-08,MEM,@,MIL,3rd,0:29.0,MEM up 6 (70-64),T. Prince misses 2-pt shot from 7 ft,MEM up 6 (70-64)
145,2014-11-08,MEM,@,MIL,4th,2:33.0,MEM down 1 (87-88),Z. Randolph makes 2-pt shot from 12 ft,MEM up 1 (89-88)
146,2014-11-08,MEM,@,MIL,4th,2:04.0,MEM down 1 (89-90),M. Gasol misses 2-pt shot at rim,MEM down 1 (89-90)
147,2014-11-08,MEM,@,MIL,4th,1:30.0,MEM down 1 (89-90),M. Conley misses 2-pt shot at rim,MEM down 1 (89-90)
148,2014-11-08,MEM,@,MIL,4th,1:29.0,MEM down 1 (89-90),Z. Randolph makes 2-pt shot at rim,MEM up 1 (91-90)
149,2014-11-08,MEM,@,MIL,4th,0:54.0,MEM up 1 (91-90),T. Prince misses 2-pt shot from 20 ft,MEM up 1 (91-90)
150,2014-11-08,MEM,@,MIL,4th,0:23.0,MEM up 1 (91-90),M. Gasol misses 2-pt shot from 19 ft,MEM up 1 (91-90)
151,2014-11-08,MEM,@,MIL,4th,0:00.0,MEM down 1 (92-93),C. Lee misses 3-pt shot from 28 ft,MEM down 1 (92-93)
152,2014-11-11,MEM,,LAL,1st,1:24.0,MEM up 3 (20-17),B. Udrih makes 2-pt shot from 11 ft,MEM up 5 (22-17)
153,2014-11-11,MEM,,LAL,1st,0:53.0,MEM up 5 (22-17),Z. Randolph misses 2-pt shot from 15 ft,MEM up 5 (22-17)
154,2014-11-11,MEM,,LAL,1st,0:52.0,MEM up 5 (22-17),T. Allen makes 2-pt shot from 1 ft,MEM up 7 (24-17)
155,2014-11-11,MEM,,LAL,1st,0:01.0,MEM up 4 (25-21),V. Carter misses 3-pt shot from 53 ft,MEM up 4 (25-21)
156,2014-11-11,MEM,,LAL,2nd,2:15.0,MEM up 5 (50-45),K. Koufos makes 2-pt shot from 2 ft (assist by M. Conley),MEM up 7 (52-45)
157,2014-11-11,MEM,,LAL,2nd,1:57.0,MEM up 7 (52-45),C. Lee misses 2-pt shot from 1 ft,MEM up 7 (52-45)
158,2014-11-11,MEM,,LAL,2nd,1:28.0,MEM up 5 (52-47),Z. Randolph misses 2-pt shot from 1 ft,MEM up 5 (52-47)
159,2014-11-11,MEM,,LAL,2nd,0:00.0,MEM up 2 (54-52),C. Lee makes 2-pt shot from 14 ft,MEM up 4 (56-52)
160,2014-11-11,MEM,,LAL,3rd,2:30.0,MEM up 7 (75-68),V. Carter makes 3-pt shot from 26 ft (assist by M. Conley),MEM up 10 (78-68)
161,2014-11-11,MEM,,LAL,3rd,0:57.0,MEM up 6 (78-72),V. Carter makes 2-pt shot from 20 ft,MEM up 8 (80-72)
162,2014-11-11,MEM,,LAL,3rd,0:27.0,MEM up 7 (80-73),C. Lee makes 3-pt shot from 25 ft (assist by V. Carter),MEM up 10 (83-73)
163,2014-11-11,MEM,,LAL,3rd,0:01.0,MEM up 8 (83-75),B. Udrih misses 3-pt shot from 47 ft,MEM up 8 (83-75)
164,2014-11-11,MEM,,LAL,4th,2:48.0,MEM up 6 (101-95),Z. Randolph makes 2-pt shot from 4 ft (assist by M. Gasol),MEM up 8 (103-95)
165,2014-11-11,MEM,,LAL,4th,2:07.0,MEM up 6 (103-97),T. Allen misses 2-pt shot from 1 ft (block by E. Davis),MEM up 6 (103-97)
166,2014-11-11,MEM,,LAL,4th,0:08.0,MEM up 3 (105-102),M. Gasol misses 2-pt shot from 1 ft (block by E. Davis),MEM up 3 (105-102)
167,2014-11-11,MEM,,LAL,4th,0:05.0,MEM up 3 (105-102),Z. Randolph makes 2-pt shot from 1 ft,MEM up 5 (107-102)
168,2014-11-13,MEM,,SAC,1st,2:38.0,MEM down 25 (8-33),Q. Pondexter makes 3-pt shot from 31 ft,MEM down 22 (11-33)
169,2014-11-13,MEM,,SAC,1st,2:03.0,MEM down 24 (11-35),C. Lee misses 2-pt shot from 17 ft,MEM down 24 (11-35)
170,2014-11-13,MEM,,SAC,1st,1:25.0,MEM down 24 (11-35),K. Koufos makes 2-pt shot at rim (assist by Q. Pondexter),MEM down 22 (13-35)
171,2014-11-13,MEM,,SAC,1st,0:09.0,MEM down 24 (14-38),C. Lee makes 2-pt shot from 1 ft,MEM down 22 (16-38)
172,2014-11-13,MEM,,SAC,2nd,2:09.0,MEM down 20 (38-58),M. Gasol misses 2-pt shot from 7 ft,MEM down 20 (38-58)
173,2014-11-13,MEM,,SAC,2nd,1:53.0,MEM down 22 (38-60),C. Lee makes 2-pt shot from 8 ft (assist by M. Conley),MEM down 20 (40-60)
174,2014-11-13,MEM,,SAC,2nd,1:28.0,MEM down 20 (40-60),V. Carter misses 3-pt shot from 26 ft,MEM down 20 (40-60)
175,2014-11-13,MEM,,SAC,2nd,1:02.0,MEM down 18 (42-60),C. Lee makes 2-pt shot from 15 ft,MEM down 16 (44-60)
176,2014-11-13,MEM,,SAC,2nd,0:33.0,MEM down 18 (44-62),Z. Randolph misses 2-pt shot from 7 ft,MEM down 18 (44-62)
177,2014-11-13,MEM,,SAC,3rd,2:49.0,MEM down 20 (66-86),M. Gasol misses 2-pt shot from 4 ft,MEM down 20 (66-86)
178,2014-11-13,MEM,,SAC,3rd,1:36.0,MEM down 20 (68-88),M. Conley makes 2-pt shot from 6 ft,MEM down 18 (70-88)
179,2014-11-13,MEM,,SAC,3rd,0:04.0,MEM down 14 (74-88),M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),MEM down 12 (76-88)
180,2014-11-13,MEM,,SAC,4th,2:03.0,MEM down 4 (102-106),Z. Randolph makes 2-pt shot at rim (assist by M. Gasol),MEM down 2 (104-106)
