Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
71,2014-11-03,LAC,,UTA,1st,0:06.0,LAC up 6 (24-18),C. Paul makes 2-pt shot from 16 ft,LAC up 8 (26-18)
72,2014-11-03,LAC,,UTA,2nd,2:22.0,LAC up 9 (48-39),J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin),LAC up 12 (51-39)
73,2014-11-03,LAC,,UTA,2nd,1:51.0,LAC up 10 (51-41),B. Griffin misses 2-pt shot from 15 ft,LAC up 10 (51-41)
74,2014-11-03,LAC,,UTA,2nd,1:22.0,LAC up 8 (51-43),J. Crawford makes 2-pt shot from 11 ft,LAC up 10 (53-43)
75,2014-11-03,LAC,,UTA,2nd,0:51.0,LAC up 10 (53-43),C. Paul makes 3-pt shot from 24 ft (assist by J. Crawford),LAC up 13 (56-43)
76,2014-11-03,LAC,,UTA,2nd,0:21.0,LAC up 13 (56-43),M. Barnes misses 3-pt shot from 25 ft,LAC up 13 (56-43)
77,2014-11-03,LAC,,UTA,3rd,2:39.0,LAC up 4 (66-62),B. Griffin makes 2-pt shot at rim (assist by J. Crawford),LAC up 6 (68-62)
78,2014-11-03,LAC,,UTA,3rd,1:55.0,LAC up 3 (68-65),B. Griffin makes 2-pt shot from 23 ft (assist by C. Paul),LAC up 5 (70-65)
79,2014-11-03,LAC,,UTA,3rd,1:31.0,LAC up 5 (70-65),S. Hawes misses 2-pt shot from 20 ft,LAC up 5 (70-65)
80,2014-11-03,LAC,,UTA,3rd,1:00.0,LAC up 3 (70-67),J. Crawford misses 2-pt shot from 19 ft,LAC up 3 (70-67)
81,2014-11-03,LAC,,UTA,3rd,0:34.0,LAC up 2 (70-68),J. Crawford misses 2-pt shot from 18 ft,LAC up 2 (70-68)
82,2014-11-03,LAC,,UTA,3rd,0:02.0,LAC tied (70-70),R. Bullock makes 3-pt shot from 27 ft (assist by J. Farmar),LAC up 3 (73-70)
83,2014-11-03,LAC,,UTA,4th,2:52.0,LAC up 6 (97-91),B. Griffin makes 2-pt shot from 6 ft,LAC up 8 (99-91)
84,2014-11-03,LAC,,UTA,4th,2:21.0,LAC up 6 (100-94),M. Barnes makes 2-pt shot from 3 ft (assist by C. Paul),LAC up 8 (102-94)
85,2014-11-03,LAC,,UTA,4th,1:56.0,LAC up 8 (102-94),M. Barnes makes 2-pt shot from 3 ft (assist by C. Paul),LAC up 10 (104-94)
86,2014-11-03,LAC,,UTA,4th,1:30.0,LAC up 8 (104-96),J. Crawford misses 2-pt shot from 15 ft,LAC up 8 (104-96)
87,2014-11-03,LAC,,UTA,4th,0:58.0,LAC up 8 (104-96),C. Paul misses 2-pt shot from 14 ft,LAC up 8 (104-96)
88,2014-11-03,LAC,,UTA,4th,0:27.0,LAC up 6 (104-98),C. Paul misses 2-pt shot from 14 ft,LAC up 6 (104-98)
89,2014-11-03,LAC,,UTA,4th,0:07.0,LAC up 4 (105-101),C. Paul makes 2-pt shot from 2 ft (assist by M. Barnes),LAC up 6 (107-101)
90,2014-11-05,LAC,@,GSW,1st,2:38.0,LAC down 8 (13-21),J. Crawford makes 2-pt shot from 14 ft (assist by C. Paul),LAC down 6 (15-21)
91,2014-11-05,LAC,@,GSW,1st,2:00.0,LAC down 8 (15-23),B. Griffin misses 2-pt shot from 20 ft,LAC down 8 (15-23)
92,2014-11-05,LAC,@,GSW,1st,1:31.0,LAC down 8 (15-23),C. Paul misses 3-pt shot from 24 ft,LAC down 8 (15-23)
93,2014-11-05,LAC,@,GSW,1st,1:04.0,LAC down 10 (15-25),J. Crawford makes 2-pt shot from 10 ft,LAC down 8 (17-25)
94,2014-11-05,LAC,@,GSW,1st,0:55.0,LAC down 8 (17-25),R. Bullock makes 3-pt shot from 24 ft (assist by C. Paul),LAC down 5 (20-25)
95,2014-11-05,LAC,@,GSW,1st,0:16.0,LAC down 7 (20-27),S. Hawes misses 3-pt shot from 26 ft,LAC down 7 (20-27)
